real_link,gender,age,foreign,leri,sexuality,round,predicted_expression,predicted_competence,predicted_trustworthiness,predicted_attractiveness,predicted_gender,predicted_sexuality,predicted_ethnicity,real_ethnicity,real_gender,real_expression,dif_gender,dif_ethnicity
https://images.generated.photos/_e1ItCMcY-TQ290G2GLQ1WWLlNcVo_TVDQZb_hufNbc/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA4OTA1NjkuanBn.jpg,2.6956521739130435,2.5652173913043477,1.608695652173913,5.956521739130435,2.590909090909091,5.826086956521739,5.304347826086956,7.565217391304348,7.3478260869565215,7.130434782608695,0.043478260869565216,1.7826086956521738,0.08695652173913043,0,0,1,0.043478260869565216,0.08695652173913043
https://images.generated.photos/-EoE_KWzubEa-92kXoGBkjurfIA0Zw9KTvBXcswODUM/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA3MzE4MTUuanBn.jpg,2.303030303030303,3.121212121212121,1.5454545454545454,5.515151515151516,2.625,6.151515151515151,4.303030303030303,7.0606060606060606,7.03030303030303,7.151515151515151,0,1.696969696969697,0.06060606060606061,0,0,0,0,0.06060606060606061
https://images.generated.photos/-FKT06yPJIURChQB9ALKaOWcx9ho9XqkcAamfCoxRos/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzAxMzAxNTcuanBn.jpg,2.411764705882353,3,1.4705882352941178,6.470588235294118,2.764705882352941,5.9411764705882355,4.705882352941177,7.411764705882353,7.588235294117647,7.117647058823529,0.11764705882352941,2,0.11764705882352941,0,0,0,0.11764705882352941,0.11764705882352941
https://images.generated.photos/-yjz4fvxyCzLqPCGhu8DEjGO4JW8EERsy2Mf3RbrdK8/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA2MDI5NjguanBn.jpg,2.48,3.48,1.8,7.2,2.9166666666666665,3.92,5,6.36,6.24,6.12,0.08,1.8,0.96,1,0,1,0.08,-0.040000000000000036
https://images.generated.photos/0f2wFgAFBhe4R9CHQUTNuR6CJ8bZg18zllyS8JWuqpQ/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA4MTg1ODUuanBn.jpg,2.5,2.7857142857142856,1.6071428571428572,6.464285714285714,2.8214285714285716,5.142857142857143,4.035714285714286,7.214285714285714,6.5,7.035714285714286,0,1.8928571428571428,0.42857142857142855,0,0,0,0,0.42857142857142855
https://images.generated.photos/0oencBnT1JkWJ4Tbw8jhs3IappnW4VgsDpFmQ9NW1mU/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzA5OTc2ODQuanBn.jpg,2.260869565217391,3.3043478260869565,1.4782608695652173,6.086956521739131,2.782608695652174,5.130434782608695,7.217391304347826,7.782608695652174,8.304347826086957,8.173913043478262,0.9130434782608695,1.8695652173913044,0.13043478260869565,0,1,0,-0.08695652173913049,0.13043478260869565
https://images.generated.photos/0xd8vOwqTrEKcJw4OeN7uloWAtJvohDSgme-S-95Pw0/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzAxMDcwNjMuanBn.jpg,2.64,3.36,1.72,6.6,2.9166666666666665,5.96,3.04,6.32,6.48,6.2,0,2,0.04,0,0,1,0,0.04
https://images.generated.photos/1wCoAeGpEnkEur9ChXYP-DRkVZvJrW_dPxFVqnNwH7k/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzAzOTQzMzQuanBn.jpg,2.526315789473684,3.473684210526316,1.3333333333333333,7.444444444444445,3,6.157894736842105,7.631578947368421,8.368421052631579,7.894736842105263,7.2631578947368425,0.8947368421052632,1.8421052631578947,0.05263157894736842,0,1,0,-0.10526315789473684,0.05263157894736842
https://images.generated.photos/2kGK-ugAeJZc4X81xfAU0igPUAWs0f74-gvJ_-NxCzs/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzAxNjc5NjIuanBn.jpg,2.4642857142857144,2.9285714285714284,1.6071428571428572,5.75,2.857142857142857,5.571428571428571,3.4285714285714284,7.964285714285714,7.607142857142857,6.821428571428571,0,1.9642857142857142,0.03571428571428571,0,0,0,0,0.03571428571428571
https://images.generated.photos/2T7UZ6u0VnvOVRO_QNb2r59LSoOpwM-krIvuSYMzPDs/rs:fit:512:512/wm:0.95:sowe:18:18:0.33/Z3M6Ly9nZW5lcmF0/ZWQtcGhvdG9zL3Yz/XzAxMDM0NzFfMDc2/ODY4N18wMDk2NDE1/LmpwZw.jpg,2.3846153846153846,3.269230769230769,1.3846153846153846,6.576923076923077,2.72,6.153846153846154,3.8846153846153846,7.384615384615385,7.038461538461538,6.884615384615385,0,1.8846153846153846,0.8846153846153846,1,0,0,0,-0.11538461538461542
